time,data,data2,data3,data4
335,27249.0,234.0,345.0,456.0
336,27307.0,234.0,345.0,456.0
337,27292.0,234.0,345.0,456.0
338,27172.0,234.0,345.0,456.0
339,27287.0,234.0,345.0,456.0
340,27514.0,234.0,345.0,456.0
341,27659.0,234.0,345.0,456.0
342,27939.0,234.0,345.0,456.0
343,28108.0,234.0,345.0,456.0
344,28162.0,234.0,345.0,456.0
345,28221.0,234.0,345.0,456.0
346,28442.0,234.0,345.0,456.0
347,28726.0,234.0,345.0,456.0
348,29477.0,234.0,345.0,456.0
349,29158.0,234.0,345.0,456.0
350,29522.0,234.0,345.0,456.0
351,29394.0,234.0,345.0,456.0
352,29463.0,234.0,345.0,456.0
353,29502.0,234.0,345.0,456.0
354,29487.0,234.0,345.0,456.0
355,29428.0,234.0,345.0,456.0
356,29369.0,234.0,345.0,456.0
357,29605.0,234.0,345.0,456.0
358,29693.0,234.0,345.0,456.0
359,29723.0,234.0,345.0,456.0
360,30071.0,234.0,345.0,456.0
361,30258.0,234.0,345.0,456.0
362,30228.0,234.0,345.0,456.0
363,30022.0,234.0,345.0,456.0
364,30027.0,234.0,345.0,456.0
365,29944.0,234.0,345.0,456.0
366,30312.0,234.0,345.0,456.0
367,30268.0,234.0,345.0,456.0
368,30086.0,234.0,345.0,456.0
369,30238.0,234.0,345.0,456.0
370,30464.0,234.0,345.0,456.0
371,30169.0,234.0,345.0,456.0
376,30381.0,234.0,345.0,456.0
377,30474.0,234.0,345.0,456.0
378,30282.0,234.0,345.0,456.0
379,30484.0,234.0,345.0,456.0
380,30557.0,234.0,345.0,456.0
381,30724.0,234.0,345.0,456.0
382,30734.0,234.0,345.0,456.0
383,30636.0,234.0,345.0,456.0
384,30847.0,234.0,345.0,456.0
385,30754.0,234.0,345.0,456.0
386,30822.0,234.0,345.0,456.0
387,30631.0,234.0,345.0,456.0
388,30749.0,234.0,345.0,456.0
389,30754.0,234.0,345.0,456.0
390,30631.0,234.0,345.0,456.0
391,30734.0,234.0,345.0,456.0
392,30906.0,234.0,345.0,456.0
398,31441.0,234.0,345.0,456.0
399,31603.0,234.0,345.0,456.0
400,31735.0,234.0,345.0,456.0
401,31726.0,234.0,345.0,456.0
